CLIENT,KEYWORDS,INITIAL RANK,01-03-2025,10 - 03-2025,17 - 03-2025,24 - 03-2025,31 - 03-2025,,1 - 04 - 2025,07- 04 - 2025,15 - 04 - 2025,21 - 04 - 2025,28 - 04 - 2025,,02-05-2025,05-05-2025,12-05-2025,19-05-2025,26-05-2025,,02-06-2025,09-06-2025,16-06-2025,23-06-2025,30-06-2025,,01-07-2025,07-07-2025,14-07-2025,21-07-2025,28-07-2025,04-08-2025,11-08-2025,18-08-2025,25-08-2025,01-09-2025,08-09-2025,15-09-2025,30-09-2025,07-10-2025,13-10-2025,21-10-2025,22-10-2025,27-10-2025,3-11-2025
VIP Connection,Luxury Chauffeur Service NYC,20,15,17,19,17,,,17,16,17,13,12,,10,10,12,15,13,,12,4,14,13,12,,15,33,23,20,20,17,32,20,24,24,26,26,NI,2,16,,28,9,
,Luxury Limo Service NYC,42,61,62,60,59,59,,59,19,64,57,42,,42,56,46,41,NI,,NI,42,38,10,10,,30,29,32,31,28,28,30,30,27,35,27,8,8,3,11,,21,7,
,NYC Executive Car Service,9,11,6,5,3,3,,3,4,5,4,9,,6,55,6,5,5,,3,2,2,2,2,,3,4,11,5,5,5,6,4,4,13,6,7,5,2,5,,7,7,
,Shuttle Services in New York City,41,30,29,27,37,28,,28,20,20,21,21,,21,26,30,24,24,,21,5,30,29,28,,19,23,18,28,25,24,22,19,94,16,33,37,51,3,36,,28,26,
,Corporate Transportation Services NYC,38,34,26,22,22,31,,31,23,29,47,61,,29,26,21,12,11,,9,1,9,8,8,,5,7,33,7,9,9,7,7,4,13,4,4,9,1,7,,7,5,
,Executive Car Service New York City,17,33,13,12,11,13,,13,13,13,11,33,,15,8,33,6,7,,7,2,9,7,7,,3,3,6,4,4,4,5,4,4,12,5,5,7,1,7,,8,7,
,Airport Limousine New York City,9,34,17,16,12,30,,30,15,14,14,33,,15,12,33,13,14,,14,4,13,13,11,,12,10,12,12,11,12,12,12,12,44,10,31,12,4,9,,21,24,
,Airport Transportation in New York City,37,33,31,31,34,35,,35,34,41,35,43,,36,50,34,49,59,,49,25,61,56,55,,44,49,56,51,42,33,38,34,,NI,39,49,52,27,39,,51,46,
,Best Limo Service NYC,33,19,21,21,25,25,,25,32,31,29,29,,28,22,33,24,22,,23,20,26,26,26,,23,5,32,25,28,31,28,34,29,28,25,18,23,3,25,,18,25,
,Best Limousine Service NYC,33,24,23,22,28,81,,81,50,89,NI,54,,60,24,57,31,28,,30,16,30,31,30,,30,29,44,30,40,38,36,20,37,35,36,53,31,30,52,,34,31,
,Luxury Car Service NYC,57,19,19,15,19,30,,30,16,5,5,12,,5,5,7,12,12,,11,1,9,10,9,,8,9,19,10,9,11,10,11,20,20,13,11,9,2,8,,13,13,
,Executive Transportation New York,30,19,17,19,16,17,,17,19,13,3,20,,17,12,15,11,58,,11,3,11,10,10,,7,6,18,9,8,8,7,5,7,27,8,7,10,5,7,,49,9,
,NYC Airport Transfer Service,74,63,55,46,41,40,,40,43,86,75,96,,95,42,91,32,57,,46,21,37,33,30,,37,38,45,35,27,27,27,27,39,59,36,32,37,3,33,,40,48,
,Corporate Car Service Manhattan,30,41,18,21,15,37,,37,14,43,18,66,,19,12,70,11,48,,53,22,47,39,38,,33,36,49,42,39,24,40,22,42,20,30,35,36,22,35,,37,22,
,Private Chauffeur NYC,52,52,42,39,46,57,,57,59,48,41,64,,48,34,48,35,31,,32,15,31,29,25,,32,33,62,35,33,31,34,32,34,38,32,19,20,3,22,,20,22,
,NYC Limousine Service,NI,87,74,74,84,84,,84,NI,NI,NI,NI,,NI,NI,NI,NI,NI,,NI,NI,NI,NI,NI,,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,24,43,,34,41,
,Luxury Shuttle Service NYC,2,2,1,1,2,2,,2,2,3,3,4,,4,5,8,7,6,,3,1,6,6,3,,3,4,3,6,6,5,1,6,6,5,6,3,4,2,3,,3,3,
,NYC Wedding Transportation,53,91,51,47,NI,56,,56,61,70,76,80,,78,5,85,30,33,,34,21,31,30,30,,34,35,55,33,39,36,41,46,36,46,38,39,43,24,41,,47,51,
,Private NYC Tours,NI,NI,NI,NI,NI,NI,,NI,NI,NI,NI,NI,,NI,NI,NI,NI,NI,,NI,NI,NI,NI,NI,,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,,NI,NI,
,NYC Event Transportation,25,25,21,20,27,37,,37,27,25,26,24,,25,12,41,12,11,,9,1,17,8,8,,8,10,18,6,18,14,15,13,10,12,11,10,11,2,10,,13,10,
,SUV Car Service NYC,14,15,12,13,15,17,,17,14,13,11,12,,12,12,17,20,14,,12,3,13,20,22,,15,23,18,29,21,21,18,19,24,24,27,9,10,2,7,,9,9,
,NYC Bus Charter Service,NI,NI,80,80,68,NI,,NI,NI,60,59,76,,74,38,82,44,38,,44,19,28,25,25,,42,42,81,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,,NI,ni,
,Mercedes Sprinter Rental NYC,82,46,27,28,37,39,,39,23,45,47,NI,,45,13,33,19,17,,18,5,19,17,17,,14,17,27,22,18,18,9,10,11,19,10,8,9,3,8,,8,7,
,NYC Roadshow Transportation,1,5,5,4,2,5,,5,3,4,5,6,,5,5,5,7,3,,2,1,1,1,1,,1,1,1,4,5,4,4,11,17,15,11,13,16,1,4,,1,7,
,Luxury Van Service NYC,17,14,12,12,9,14,,14,8,6,8,15,,12,11,13,9,8,,7,1,5,6,5,,7,5,11,7,8,9,10,8,8,8,8,8,9,2,7,,8,8,
,NYC Sporting Event Transportation,4,3,1,2,2,3,,3,6,3,2,4,,3,4,4,4,3,,3,1,3,2,2,,3,3,6,4,4,3,5,11,3,7,2,2,8,2,1,,1,1,
,Broadway Show Transportation NYC,3,5,2,2,3,2,,2,6,4,2,1,,1,4,2,4,2,,2,2,3,2,2,,2,3,6,3,6,2,5,7,3,4,7,12,13,2,8,,7,9,
,Family Reunion Transportation NYC,5,1,3,2,2,2,,2,3,2,2,2,,4,3,5,4,3,,3,2,4,3,3,,3,4,2,6,6,4,4,5,4,3,4,5,5,1,2,,3,3,
,Shopping Trip Car Service NYC,2,2,3,3,4,1,,1,3,2,3,3,,4,3,4,4,3,,3,1,4,4,4,,3,4,1,2,4,4,2,2,2,2,2,2,2,1,2,,2,2,
,JFK Airport Car Service,77,77,NI,58,78,92,,88,93,NI,NI,87,,88,NI,94,NI,42,,NI,NI,NI,NI,NI,,NI,36,73,43,38,20,39,30,42,NI,47,45,40,24,41,,41,30,
,Newark Airport Limo Service,23,25,20,20,18,20,,20,23,24,21,25,,25,16,28,17,18,,16,5,20,19,18,,18,24,33,26,22,21,21,21,26,24,24,22,18,3,21,,24,21,
,Corporate Shuttle Service NYC,50,56,47,46,47,53,,53,24,24,15,16,,16,18,49,16,35,,9,1,7,7,7,,12,8,16,35,14,5,8,13,7,9,12,12,15,1,5,,32,5,
,Luxury Transportation New York,47,40,11,1,11,18,,18,15,9,9,19,,11,7,17,12,7,,7,1,13,7,7,,5,5,12,8,8,8,8,8,9,26,9,9,9,3,11,,11,9,
,Limo Service Newark Airport,20,24,20,20,20,21,,21,23,24,22,21,,24,15,34,19,19,,17,7,20,20,20,,15,21,33,23,19,19,19,21,24,28,19,19,20,5,18,,19,18,
,Limo Service Newark Airport,51,94,38,35,51,67,,67,84,52,52,93,,NI,26,NI,35,36,,26,19,25,27,28,,23,NI,NI,50,45,45,25,46,46,NI,NI,36,NI,5,18,,19,18,
,JFK Airport Transportation,91,95,NI,61,83,NI,,NI,87,NI,NI,NI,,NI,NI,NI,NI,NI,,NI,NI,NI,NI,NI,,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,48,42,,NI,48,
,LaGuardia Airport Transportation,NI,NI,NI,NI,NI,71,,71,52,NI,NI,NI,,NI,NI,68,44,38,,38,NI,NI,NI,NI,,38,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,29,,28,17,
,LaGuardia Airport Limo,33,35,28,28,31,29,,29,35,29,33,31,,33,17,35,17,14,,14,2,15,13,15,,15,18,23,18,16,13,11,12,50,NI,50,17,60,2,16,,12,14,
,NYC Airport Transfers,NI,NI,NI,NI,NI,NI,,NI,NI,NI,NI,NI,,NI,NI,NI,NI,NI,,NI,NI,NI,NI,NI,,NI,,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,,NI,NI,